CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,330,3,252.77,0,Hibernating / Lost
12347,20,4,342.13,2,Loyal / Steady Spenders
12348,161,10,1012.99,2,Loyal / Steady Spenders
12349,38,5,420.95,2,Loyal / Steady Spenders
12350,43,6,528.5600000000001,2,Loyal / Steady Spenders
12351,106,12,1410.54,1,Champions / VIP
12352,27,5,407.49,2,Loyal / Steady Spenders
12353,3,20,4117.82,1,Champions / VIP
12354,34,12,1752.22,1,Champions / VIP
12355,270,2,30.05,0,Hibernating / Lost
12356,200,4,359.32,2,Loyal / Steady Spenders
12357,6,4,574.68,2,Loyal / Steady Spenders
12358,275,3,233.93,0,Hibernating / Lost
12359,17,8,1417.92,1,Champions / VIP
12360,28,4,567.84,2,Loyal / Steady Spenders
12361,227,2,79.21,0,Hibernating / Lost
12362,10,14,2171.84,1,Champions / VIP
12363,21,5,587.4,2,Loyal / Steady Spenders
12364,231,4,276.69,0,Hibernating / Lost
12365,312,2,117.57000000000001,0,Hibernating / Lost
12366,37,7,706.47,2,Loyal / Steady Spenders
12367,6,23,2252.26,1,Champions / VIP
12368,266,3,336.71,0,Hibernating / Lost
12369,23,6,507.70000000000005,2,Loyal / Steady Spenders
12370,19,8,1180.3,2,Loyal / Steady Spenders
12371,105,5,296.83,2,Loyal / Steady Spenders
12372,283,2,134.70000000000002,0,Hibernating / Lost
12373,25,14,1463.85,1,Champions / VIP
12374,30,9,664.29,2,Loyal / Steady Spenders
12375,15,10,1970.15,1,Champions / VIP
12376,97,11,598.97,2,Loyal / Steady Spenders
12377,348,1,23.48,0,Hibernating / Lost
12378,173,9,956.16,2,Loyal / Steady Spenders
12379,15,10,1014.9399999999999,1,Champions / VIP
12380,10,4,226.89000000000001,3,At-Risk / Needs Attention
12381,30,6,279.43,2,Loyal / Steady Spenders
12382,53,17,1742.78,1,Champions / VIP
12383,36,7,600.1899999999999,2,Loyal / Steady Spenders
12384,7,11,1413.2,1,Champions / VIP
12385,169,5,506.21000000000004,2,Loyal / Steady Spenders
12386,15,13,1804.73,1,Champions / VIP
12387,336,4,192.21,0,Hibernating / Lost
12388,34,8,1180.92,2,Loyal / Steady Spenders
12389,331,1,120.7,0,Hibernating / Lost
12390,1,19,3192.64,1,Champions / VIP
12391,59,5,519.92,2,Loyal / Steady Spenders
12392,155,6,437.32,2,Loyal / Steady Spenders
12393,172,5,277.45,2,Loyal / Steady Spenders
12394,281,2,80.71,0,Hibernating / Lost
12395,24,10,1115.33,1,Champions / VIP
12396,92,7,1225.42,2,Loyal / Steady Spenders
12397,34,8,522.3,2,Loyal / Steady Spenders
