InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537875,20725,LUNCH BAG RED RETROSPOT,2,09/12/2025 18:02,1.71,12558.0,United Kingdom
539089,20725,LUNCH BAG RED RETROSPOT,6,04/27/2026 12:14,1.71,12721.0,United Kingdom
540616,22423,REGENCY CAKESTAND 3 TIER,5,12/26/2025 15:11,13.12,12929.0,United Kingdom
539233,71053,WHITE METAL LANTERN,1,04/20/2026 12:18,3.46,12737.0,Australia
537966,22960,JAM MAKING SET WITH JARS,6,08/30/2025 11:39,4.35,12575.0,Germany
540101,21931,JUMBO STORAGE BAG SUKI,20,01/25/2026 09:20,2.02,12859.0,Germany
540861,23298,SPOTTY BUNTING,5,12/10/2025 17:02,5.91,12961.0,United Kingdom
539000,23203,JUMBO BAG DOILEY PATTERNS,16,09/14/2025 19:30,2.11,12710.0,United Kingdom
540988,22197,SMALL POPCORN HOLDER,10,09/02/2025 12:42,0.88,,United Kingdom
539759,84879,ASSORTED COLOUR BIRD ORNAMENT,2,04/02/2026 11:38,1.62,12813.0,France
539564,21754,HOME BUILDING BLOCK WORD,7,04/20/2026 13:12,5.78,12785.0,United Kingdom
540526,22423,REGENCY CAKESTAND 3 TIER,7,01/22/2026 19:34,12.21,12913.0,Australia
540267,21755,LOVE BUILDING BLOCK WORD,10,03/18/2026 17:07,6.19,12877.0,United Kingdom
536721,84879,ASSORTED COLOUR BIRD ORNAMENT,7,02/12/2026 14:22,1.75,12391.0,United Kingdom
540524,22699,ROSES REGENCY TEACUP AND SAUCER,9,11/26/2025 16:41,3.09,12913.0,Australia
538664,22383,LUNCH BAG SUKI DESIGN,8,04/05/2026 12:31,1.66,,United Kingdom
538878,22178,VICTORIAN GLASS HANGING T-LIGHT,3,12/29/2025 19:00,1.23,12692.0,United Kingdom
537926,23256,CHILDRENS CUTLERY SPACEBOY,4,04/15/2026 13:56,4.0,12568.0,United Kingdom
539295,22629,SPACEBOY LUNCH BOX,22,08/13/2025 08:01,2.02,12746.0,United Kingdom
537040,22960,Jam Making Set With Jars  ,7,08/02/2026 19:04,4.34,12440.0,United Kingdom
540591,23256,CHILDRENS CUTLERY SPACEBOY,11,05/17/2026 19:56,4.0,12923.0,United Kingdom
537265,21212,PACK OF 72 RETROSPOT CAKE CASES,2,06/03/2026 19:34,0.55,12471.0,United Kingdom
537620,22383,LUNCH BAG SUKI DESIGN,23,07/15/2026 10:21,1.58,12518.0,United Kingdom
540409,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,12/18/2025 08:37,2.5,12897.0,United Kingdom
537539,21212,PACK OF 72 RETROSPOT CAKE CASES,5,08/27/2025 09:21,0.57,12511.0,United Kingdom
